texturevariationid,gameassetid,assettype,itemid
0,43,3,830
0,45,3,832
0,51,3,835
0,63,3,841
0,64,3,842
0,501,3,866
0,528,3,878
0,547,3,883
0,289,3,890
0,290,3,891
0,291,3,892
0,293,3,893
0,294,3,894
0,297,3,895
0,292,3,896
0,298,3,897
0,296,3,898
0,3008,3,899
0,3009,3,900
0,3010,3,901
0,3011,3,902
0,3012,3,903
0,3013,3,904
0,3014,3,905
0,3015,3,906
0,3019,3,907
0,3020,3,908
0,3021,3,909
0,3022,3,910
0,3025,3,911
0,3026,3,912
0,3027,3,913
0,3034,3,914
0,239,4,998
0,999,4,999
0,0,4,1000
0,27,4,1001
0,285,4,1002
0,28,4,1003
0,243,4,1004
0,286,4,1005
0,287,4,1006
0,288,4,1007
0,289,4,1008
0,29,4,1009
0,37,4,1010
0,236,4,1011
0,38,4,1012
0,237,4,1013
0,30,4,1014
0,238,4,1015
0,16,4,1016
0,39,4,1017
0,32,4,1020
0,35,4,1021
0,36,4,1022
0,40,4,1023
0,41,4,1024
0,43,4,1025
0,44,4,1026
0,45,4,1027
0,46,4,1028
0,47,4,1029
0,244,4,1030
0,245,4,1031
0,246,4,1032
0,247,4,1033
0,248,4,1034
0,249,4,1035
0,251,4,1036
0,252,4,1037
0,253,4,1038
0,254,4,1039
0,255,4,1040
0,257,4,1041
0,258,4,1042
0,259,4,1043
0,260,4,1044
0,266,4,1045
0,268,4,1046
0,269,4,1047
0,270,4,1048
0,271,4,1049
0,272,4,1050
0,273,4,1051
0,276,4,1052
0,281,4,1054
0,282,4,1055
0,290,4,1056
0,299,4,1057
0,78,5,1163
0,79,5,1165
0,80,5,1167
0,86,5,1188
0,87,5,1215
0,81,5,1231
0,90,5,1253
0,82,5,1259
0,89,5,1266
0,91,5,1275
0,88,5,1278
0,85,5,1282
0,92,5,1333
0,93,5,1363
257,3,2,1478
0,385,3,1484
0,386,3,1485
0,3066,3,1486
0,389,3,1487
0,394,3,1489
0,104,5,1541
0,105,5,1542
0,106,5,1543
0,107,5,1544
0,108,5,1545
0,109,5,1546
0,110,5,1547
0,111,5,1548
0,87,5,1549
0,113,5,1550
0,112,5,1551
0,119,5,1552
0,121,5,1553
0,122,5,1554
0,1,5,1555
0,1,5,1556
0,0,11,1700
0,101,11,1701
0,103,11,1702
0,40,11,1703
0,30,11,1704
0,10,11,1705
0,17,11,1706
0,1,11,1707
0,12,11,1708
0,32,11,1709
0,33,11,1710
0,35,11,1711
0,45,11,1712
0,38,11,1713
0,16,11,1714
0,18,11,1715
0,22,11,1716
0,19,11,1717
0,37,11,1718
0,6,11,1719
0,21,11,1720
0,34,11,1721
0,47,11,1722
0,42,11,1723
0,48,11,1724
0,26,11,1725
0,7,11,1726
0,9,11,1727
0,76,11,1728
0,77,11,1729
0,83,11,1730
0,3,11,1731
0,84,11,1732
0,86,11,1733
0,88,11,1734
0,63,11,1735
0,64,11,1736
0,65,11,1737
0,61,11,1738
0,49,11,1739
0,58,11,1740
0,55,11,1741
0,56,11,1742
0,66,11,1743
0,57,11,1744
0,74,11,1745
0,75,11,1746
0,71,11,1747
0,72,11,1748
0,73,11,1749
0,59,11,1750
0,60,11,1751
0,62,11,1752
0,50,11,1753
0,514,11,1754
0,52,11,1755
0,53,11,1756
0,54,11,1757
0,67,11,1758
0,68,11,1759
0,69,11,1760
0,70,11,1761
0,91,11,1762
0,92,11,1763
0,93,11,1764
0,79,11,1765
0,80,11,1766
0,94,11,1767
0,95,11,1768
0,96,11,1769
0,97,11,1770
0,98,11,1771
0,85,11,1772
0,99,11,1773
0,100,11,1774
0,89,11,1775
0,90,11,1776
0,4,11,1777
0,82,11,1778
0,104,11,1779
0,78,11,1780
0,102,11,1781
0,31,11,1782
0,3610,11,1783
0,3612,11,1784
0,3616,11,1785
0,3617,11,1786
0,3620,11,1787
0,3623,11,1788
0,3624,11,1789
0,3628,11,1790
0,3609,11,1791
0,3611,11,1792
0,3615,11,1793
0,3618,11,1794
0,3619,11,1795
0,3621,11,1796
0,3622,11,1797
0,3625,11,1798
0,3626,11,1799
0,3627,11,1800
0,6700011,11,1801
0,6700012,11,1802
0,6700018,11,1803
0,6700020,11,1804
0,6700021,11,1805
0,6700026,11,1806
0,6700041,11,1807
0,6700046,11,1808
0,6700047,11,1809
0,6850061,11,1810
0,6850068,11,1811
0,6850072,11,1812
0,1,3,1825
0,2,3,1826
0,3,3,1827
0,4,3,1828
0,5,3,1829
0,6,3,1830
0,7,3,1831
0,8,3,1832
0,9,3,1833
0,10,3,1834
0,11,3,1835
0,12,3,1836
0,13,3,1837
0,14,3,1838
0,15,3,1840
0,16,3,1841
0,17,3,1842
0,18,3,1843
0,19,3,1844
0,20,3,1845
0,22,3,1846
0,23,3,1847
0,24,3,1848
0,25,3,1849
0,26,3,1850
0,27,3,1851
0,28,3,1852
0,29,3,1853
0,30,3,1854
0,32,3,1855
0,33,3,1856
0,34,3,1857
0,35,3,1858
0,37,3,1859
0,39,3,1860
0,46,3,1861
0,47,3,1862
0,49,3,1863
0,52,3,1864
0,53,3,1865
0,54,3,1866
0,55,3,1867
0,56,3,1868
0,57,3,1869
0,58,3,1870
0,60,3,1871
0,62,3,1872
0,65,3,1873
0,69,3,1874
0,71,3,1875
0,73,3,1876
0,76,3,1877
0,77,3,1878
0,79,3,1879
0,81,3,1880
0,82,3,1881
0,83,3,1882
0,85,3,1883
0,87,3,1884
0,88,3,1885
0,91,3,1886
0,93,3,1887
0,94,3,1888
0,95,3,1889
0,113,3,1890
0,115,3,1891
0,120,3,1892
0,124,3,1893
0,126,3,1894
0,130,3,1895
0,131,3,1896
0,132,3,1897
0,133,3,1898
0,140,3,1899
0,141,3,1900
0,142,3,1901
0,144,3,1902
0,145,3,1903
0,147,3,1904
0,148,3,1905
0,149,3,1906
0,150,3,1907
0,169,3,1908
0,271,3,1909
0,273,3,1910
0,274,3,1911
0,275,3,1912
0,277,3,1913
0,278,3,1914
0,279,3,1915
0,280,3,1916
0,281,3,1917
0,282,3,1918
0,283,3,1919
0,284,3,1920
0,285,3,1921
0,286,3,1922
0,398,3,1923
0,399,3,1924
0,3101,3,1925
0,444,3,1926
0,448,3,1927
0,500,3,1928
0,502,3,1929
0,503,3,1930
0,504,3,1931
0,505,3,1932
0,506,3,1933
0,507,3,1934
0,508,3,1935
0,509,3,1936
0,510,3,1937
0,513,3,1938
0,515,3,1939
0,517,3,1940
0,519,3,1941
0,520,3,1942
0,524,3,1943
0,525,3,1944
0,526,3,1945
0,527,3,1946
0,529,3,1947
0,531,3,1948
0,532,3,1949
0,533,3,1950
0,539,3,1951
0,540,3,1952
0,543,3,1953
0,544,3,1954
0,545,3,1955
0,546,3,1956
0,548,3,1957
0,549,3,1958
0,550,3,1959
0,551,3,1960
0,557,3,1961
0,559,3,1962
0,560,3,1963
0,561,3,1964
0,562,3,1965
0,563,3,1966
0,564,3,1967
0,565,3,1968
0,566,3,1969
0,567,3,1970
0,569,3,1971
0,570,3,1972
0,571,3,1973
0,572,3,1974
0,573,3,1975
0,574,3,1976
0,575,3,1977
0,576,3,1978
0,577,3,1979
0,578,3,1980
0,579,3,1981
0,580,3,1982
0,581,3,1983
0,582,3,1984
0,583,3,1985
0,42,4,2007
0,203,3,2008
0,261,3,2009
0,276,3,2010
0,418,3,2011
0,419,3,2012
0,421,3,2013
0,3096,3,2018
0,431,3,2019
0,432,3,2020
0,434,3,2021
0,435,3,2022
0,436,3,2023
0,437,3,2024
0,534,3,2028
0,433,3,2122
0,438,3,2123
0,445,3,2127
0,446,3,2128
0,450,3,2130
0,451,3,2131
0,452,3,2132
0,460,3,2136
0,461,3,2137
0,462,3,2138
0,463,3,2139
0,48,3,2141
0,114,5,2242
0,115,5,2243
0,116,5,2244
0,117,5,2245
0,118,5,2246
0,10860,12,2300
0,10861,12,2301
0,14786,12,2302
0,14787,12,2303
0,14788,12,2304
0,15364,12,2305
0,17079,12,2306
0,17080,12,2307
0,17081,12,2308
0,17412,12,2309
0,17413,12,2310
0,17429,12,2311
0,17432,12,2312
17,2,13,2400
17,1,13,2401
0,300,6,2700
8,300,6,2701
9,300,6,2702
10,300,6,2703
0,240,6,2800
1,240,6,2801
2,240,6,2802
3,240,6,2803
4,240,6,2804
5,240,6,2805
6,240,6,2806
7,240,6,2807
8,240,6,2808
9,240,6,2809
10,240,6,2810
11,240,6,2811
12,240,6,2812
13,240,6,2813
14,240,6,2814
15,240,6,2815
0,262,6,2900
1,262,6,2901
2,262,6,2902
3,262,6,2903
4,262,6,2904
5,262,6,2905
6,262,6,2906
7,262,6,2907
8,262,6,2908
9,262,6,2909
0,250,16,3000
0,54050,16,3001
0,227263,16,3002
0,254642,16,3003
0,166149,16,3004
0,1397,16,3005
0,37576,16,3006
0,5419,16,3007
0,1625,16,3008
0,10264,16,3009
0,7763,16,3010
0,250890,16,3011
0,1845,16,3012
0,15723,16,3013
0,227261,16,3014
0,7512,16,3015
0,238428,16,3016
0,45674,16,3017
0,71557,16,3018
0,71608,16,3019
0,266473,16,3020
0,5589,16,3021
0,173210,16,3022
0,273812,16,3023
0,1201,16,3024
0,28130,16,3025
0,227324,16,3026
0,1238,16,3027
0,28130,17,3300
0,16539,17,3301
0,1397,17,3302
0,1605,17,3303
0,1625,17,3304
0,7763,17,3305
0,227263,17,3306
0,254642,17,3307
0,166149,17,3308
0,54050,17,3309
0,250,17,3310
0,37576,17,3311
0,5419,17,3312
0,10264,17,3313
0,71557,17,3314
0,1238,17,3315
0,156,18,4000
0,134,18,4001
0,53,18,4002
0,8842,19,4100
0,72196,19,4101
0,235732,19,4102
0,268315,19,4103
0,1,20,5000
0,2,20,5001
0,3,20,5002
0,381,3,6727
0,376,3,6728
0,375,3,6729
0,374,3,6730
0,255,3,6732
0,184,3,6733
0,182,3,6734
0,179,3,6735
0,171,3,6736
0,163,3,6738
0,162,3,6739
0,111,3,6740
0,110,3,6741
0,101,3,6742
0,492,3,6843
0,123,3,6852
0,584,3,6857
0,226,3,6865
0,227,3,6866
0,202,3,6867
0,220,3,6871
0,245,3,6872
0,199,3,6873
0,243,3,6875
0,224,3,6876
0,647,3,6878
0,233,3,6991
0,494,3,6993
1280,0,2,7105
3843,0,2,7106
3341,0,2,7107
3598,0,2,7108
0,31,4,7135
0,810,3,7136
0,811,3,7137
0,815,3,7138
0,816,3,7139
0,831,3,7145
0,832,3,7146
0,16,2,7300
0,17,2,7301
0,20,2,7302
0,21,2,7303
0,22,2,7304
0,23,2,7305
0,24,2,7306
0,25,2,7307
0,26,2,7308
0,27,2,7309
0,29,2,7311
0,30,2,7312
0,31,2,7313
0,32,2,7314
0,33,2,7315
0,36,2,7316
0,37,2,7317
0,38,2,7318
0,39,2,7319
0,40,2,7320
0,41,2,7321
0,42,2,7322
0,43,2,7323
0,44,2,7324
0,45,2,7325
0,46,2,7326
0,47,2,7327
0,48,2,7328
0,49,2,7329
0,50,2,7330
0,51,2,7331
0,52,2,7332
0,53,2,7333
0,54,2,7334
0,55,2,7335
0,56,2,7336
0,57,2,7337
0,58,2,7338
0,59,2,7339
0,60,2,7340
0,61,2,7341
0,62,2,7342
0,63,2,7343
0,64,2,7344
0,65,2,7345
0,68,2,7346
0,69,2,7347
0,70,2,7348
0,71,2,7349
0,72,2,7350
0,73,2,7351
0,74,2,7352
0,75,2,7353
0,76,2,7354
0,77,2,7355
0,78,2,7356
0,79,2,7357
0,80,2,7358
0,81,2,7359
0,82,2,7360
0,83,2,7361
0,84,2,7362
0,85,2,7363
0,88,2,7364
0,89,2,7365
0,90,2,7366
0,91,2,7367
0,92,2,7368
0,93,2,7369
0,94,2,7370
0,95,2,7371
0,96,2,7372
0,97,2,7373
0,98,2,7374
0,99,2,7375
0,100,2,7376
0,101,2,7377
0,102,2,7378
0,103,2,7379
0,104,2,7380
0,105,2,7381
0,106,2,7382
0,107,2,7383
0,130,2,7384
0,131,2,7385
0,132,2,7386
0,133,2,7387
0,134,2,7388
0,135,2,7389
0,136,2,7390
0,137,2,7391
0,140,2,7392
0,142,2,7393
0,143,2,7394
0,144,2,7395
0,145,2,7396
0,146,2,7397
0,147,2,7398
0,148,2,7399
0,149,2,7400
0,150,2,7401
0,151,2,7402
0,152,2,7403
0,153,2,7404
0,154,2,7405
0,155,2,7406
0,156,2,7407
0,157,2,7408
0,158,2,7409
0,159,2,7410
0,160,2,7411
0,161,2,7412
0,162,2,7413
0,163,2,7414
0,164,2,7415
0,165,2,7416
0,166,2,7417
0,167,2,7418
0,168,2,7419
0,169,2,7420
0,170,2,7421
0,171,2,7422
0,172,2,7423
0,173,2,7424
0,174,2,7425
0,175,2,7426
0,176,2,7427
0,177,2,7428
0,178,2,7429
0,179,2,7430
0,180,2,7431
0,181,2,7432
0,182,2,7433
0,183,2,7434
0,184,2,7435
0,185,2,7436
0,186,2,7437
0,187,2,7438
0,188,2,7439
0,189,2,7440
0,190,2,7441
0,191,2,7442
0,192,2,7443
0,193,2,7444
0,194,2,7445
0,195,2,7446
0,196,2,7447
0,197,2,7448
0,198,2,7449
0,199,2,7450
0,200,2,7451
0,201,2,7452
0,202,2,7453
0,203,2,7454
0,204,2,7455
0,205,2,7456
0,206,2,7457
0,207,2,7458
0,208,2,7459
0,209,2,7460
0,210,2,7461
0,211,2,7462
0,212,2,7463
0,213,2,7464
0,214,2,7465
0,215,2,7466
0,216,2,7467
0,217,2,7468
0,218,2,7469
0,219,2,7470
0,220,2,7471
0,221,2,7472
0,222,2,7473
0,223,2,7474
0,224,2,7475
0,225,2,7476
0,226,2,7477
0,227,2,7478
0,228,2,7479
0,229,2,7480
0,230,2,7481
0,231,2,7482
0,232,2,7483
0,233,2,7484
0,234,2,7485
0,235,2,7486
0,236,2,7487
0,237,2,7488
0,238,2,7489
0,239,2,7490
0,240,2,7491
0,241,2,7492
0,242,2,7493
0,300,2,7494
0,301,2,7495
0,302,2,7496
0,303,2,7497
0,304,2,7498
0,305,2,7499
0,306,2,7500
0,307,2,7501
0,308,2,7502
0,309,2,7503
0,310,2,7504
0,311,2,7505
0,312,2,7506
0,313,2,7507
0,240,4,7556
0,3124,3,7575
0,3125,3,7576
0,3132,3,7578
0,156,6,7594
2313,3,2,7600
2570,3,2,7601
15,3,2,7602
2831,3,2,7603
2816,2,2,7604
1028,2,2,7605
1542,2,2,7606
2827,2,2,7607
3851,2,2,7608
3084,2,2,7609
0,193,5,7611
0,194,5,7612
0,195,5,7613
0,196,5,7614
0,197,5,7615
0,198,5,7616
0,199,5,7617
0,202,5,7618
0,191,5,7663
0,192,5,7664
0,184,5,7665
0,185,5,7666
0,186,5,7667
0,182,5,7668
0,187,5,7669
0,188,5,7670
0,189,5,7671
0,200,5,7672
0,201,5,7673
0,3131,3,7686
0,3133,3,7688
0,3136,3,7692
0,845,3,7694
0,33,4,7696
0,881,3,7698
0,882,3,7699
0,883,3,7700
0,950,3,7740
0,951,3,7741
0,952,3,7742
0,953,3,7743
0,954,3,7744
0,955,3,7745
0,956,3,7746
0,957,3,7747
0,958,3,7748
0,959,3,7749
0,960,3,7750
0,961,3,7751
0,962,3,7752
0,963,3,7753
0,964,3,7754
0,965,3,7755
0,966,3,7756
0,967,3,7757
0,968,3,7758
0,969,3,7759
0,970,3,7760
0,971,3,7761
0,972,3,7762
0,973,3,7763
0,974,3,7764
0,975,3,7765
0,976,3,7766
0,977,3,7767
0,978,3,7768
0,979,3,7769
0,980,3,7770
0,981,3,7771
0,84,5,7951
0,83,5,7953
0,401,2,7954
0,400,2,7955
0,402,2,7956
0,404,2,7957
0,405,2,7958
0,406,2,7959
1,156,6,7960
0,4014,3,8023
0,4015,3,8024
0,4016,3,8025
0,34,4,8026
0,203,5,8027
0,204,5,8028
0,205,5,8029
0,206,5,8030
0,208,5,8034
2,156,6,8036
3,156,6,8037
0,210,5,8041
0,207,5,8048
0,242,4,8061
0,241,4,8062
0,3148,3,8071
0,3147,3,8072
0,266,5,8124
0,267,5,8125
0,268,5,8126
0,269,5,8127
0,270,5,8128
0,271,5,8129
0,272,5,8130
0,273,5,8131
0,274,5,8132
0,275,5,8133
0,276,5,8134
0,277,5,8135
0,278,5,8136
0,279,5,8137
0,280,5,8138
0,3167,3,8145
0,3168,3,8146
0,3169,3,8147
0,3170,3,8148
0,3171,3,8149
0,3172,3,8150
0,891,3,8151
0,265,4,8152
0,264,4,8153
0,263,4,8154
0,262,4,8155
0,261,4,8156
0,701,6,8161
0,536,2,8163
2,360,6,8169
3,360,6,8170
4,360,6,8171
5,360,6,8172
6,360,6,8173
7,360,6,8174
8,360,6,8175
9,360,6,8176
10,360,6,8177
11,360,6,8178
7,156,6,8179
8,156,6,8180
9,156,6,8181
10,156,6,8182
11,156,6,8183
12,156,6,8184
13,156,6,8185
14,156,6,8186
15,156,6,8187
16,156,6,8188
0,3175,3,8191
0,3176,3,8192
0,3177,3,8193
0,3178,3,8194
0,3179,3,8195
0,3180,3,8196
0,3181,3,8197
0,3182,3,8198
0,1059,3,8199
0,1060,3,8200
0,1094,3,8201
0,1095,3,8202
0,1096,3,8203
0,3183,3,8204
0,3184,3,8205
0,1099,3,8206
0,3185,3,8207
19,156,6,8208
20,156,6,8209
17,156,6,8210
18,156,6,8211
0,365,6,8215
1,365,6,8216
2,365,6,8217
0,28,2,8218
0,419,2,8219
0,420,2,8220
0,422,2,8221
0,423,2,8222
0,424,2,8223
0,425,2,8224
0,426,2,8225
0,427,2,8226
0,428,2,8227
0,429,2,8228
0,430,2,8229
0,431,2,8230
0,165,6,8233
1,165,6,8234
2,165,6,8235
3,365,6,8236
4,365,6,8237
0,262,5,8238
0,263,5,8239
0,264,5,8240
0,265,5,8241
0,281,5,8242
0,282,5,8243
0,283,5,8244
0,284,5,8245
0,267,4,8252
0,4026,3,8253
0,4027,3,8254
0,3188,3,8261
0,3189,3,8262
0,1111,3,8263
0,1112,3,8264
0,1113,3,8265
0,3190,3,8266
0,3191,3,8267
0,285,5,8268
0,286,5,8269
0,287,5,8270
0,288,5,8271
0,432,2,8272
0,433,2,8273
0,434,2,8274
0,435,2,8275
0,436,2,8276
21,156,6,8277
22,156,6,8278
23,156,6,8279
24,156,6,8280
25,156,6,8281
26,156,6,8282
27,156,6,8283
0,3017,3,8284
28,156,6,8285
29,156,6,8286
30,156,6,8287
0,157,6,8288
0,360,6,8289
0,3193,3,8297
0,439,2,8300
0,437,2,8302
0,438,2,8303
0,250,4,8310
0,3055,3,8313
0,410,2,8318
0,411,2,8319
0,211,5,8322
0,212,5,8323
0,213,5,8324
0,214,5,8325
0,215,5,8326
0,216,5,8327
0,18,2,8347
0,19,2,8348
0,138,2,8349
0,139,2,8350
0,141,2,8351
0,314,2,8352
0,315,2,8353
0,317,2,8354
0,319,2,8355
0,320,2,8356
0,329,2,8357
0,331,2,8358
0,332,2,8359
0,333,2,8360
0,334,2,8361
0,335,2,8362
0,336,2,8363
0,337,2,8364
0,338,2,8365
0,339,2,8366
0,86,2,8367
0,316,2,8368
0,318,2,8369
0,321,2,8370
0,322,2,8371
0,323,2,8372
0,324,2,8373
0,325,2,8374
0,326,2,8375
0,327,2,8376
0,328,2,8377
0,330,2,8378
0,340,2,8379
0,228,3,8380
0,236,3,8381
0,267,3,8382
0,3058,3,8383
0,585,3,8384
0,587,3,8385
0,588,3,8386
0,595,3,8387
0,664,3,8388
0,666,3,8389
0,902,3,8390
0,9999,3,8391
0,392,3,8392
0,3076,3,8393
0,390,3,8394
0,123,5,8397
0,124,5,8398
0,125,5,8399
0,126,5,8400
0,127,5,8401
0,128,5,8402
0,129,5,8403
0,130,5,8404
0,131,5,8405
0,132,5,8406
0,133,5,8407
0,134,5,8408
0,135,5,8409
0,136,5,8410
0,137,5,8411
0,141,5,8412
0,142,5,8413
0,143,5,8414
0,144,5,8415
0,145,5,8416
0,146,5,8417
0,139,5,8418
0,140,5,8419
0,138,5,8420
0,3199,3,8433
0,289,5,8434
1,164,6,8435
0,3200,3,8445
0,3201,3,8446
0,2010,3,8447
0,3202,3,8448
0,2012,3,8449
0,290,5,8450
0,291,5,8451
0,292,5,8452
0,293,5,8453
0,294,5,8454
0,295,5,8455
32,156,6,8456
31,156,6,8457
2,170,6,8458
1,170,6,8459
0,170,6,8460
0,2011,3,8461
0,3196,3,8462
0,1126,3,8463
0,1127,3,8464
33,156,6,8465
34,156,6,8466
0,443,2,8467
0,440,2,8468
0,444,2,8469
0,445,2,8470
0,296,5,8477
0,297,5,8478
0,298,5,8479
0,300,5,8480
0,301,5,8481
0,299,5,8482
35,156,6,8483
36,156,6,8484
0,370,6,8485
1,370,6,8486
0,275,4,8491
0,441,2,8503
0,442,2,8504
0,1142,3,8520
0,413,2,8521
6,156,6,8522
0,219,5,8530
0,220,5,8531
0,224,5,8532
0,225,5,8533
0,226,5,8534
0,221,5,8535
0,111,4,8536
0,16,6,8537
0,52,6,8538
0,53,6,8539
0,327,5,8540
0,328,5,8541
0,329,5,8542
0,330,5,8543
0,331,5,8544
0,332,5,8545
0,333,5,8546
0,334,5,8547
0,335,5,8548
0,336,5,8549
0,337,5,8550
0,338,5,8551
0,339,5,8552
0,340,5,8553
0,341,5,8554
0,342,5,8555
0,343,5,8556
0,344,5,8557
0,345,5,8558
0,346,5,8559
3,170,6,8560
4,170,6,8561
5,170,6,8562
6,170,6,8563
7,170,6,8564
8,170,6,8565
9,170,6,8566
10,170,6,8567
11,170,6,8568
12,170,6,8569
6,365,6,8570
7,365,6,8571
8,365,6,8572
9,365,6,8573
10,365,6,8574
11,365,6,8575
12,365,6,8576
13,365,6,8577
14,365,6,8578
15,365,6,8579
0,390,6,8580
1,390,6,8581
2,390,6,8582
3,390,6,8583
4,390,6,8584
5,390,6,8585
6,390,6,8586
7,390,6,8587
8,390,6,8588
9,390,6,8589
10,390,6,8590
0,283,4,8591
0,284,4,8592
0,297,4,8593
0,298,4,8594
0,1316,3,8595
0,1317,3,8596
0,2013,3,8597
0,2014,3,8598
0,2015,3,8599
0,2016,3,8600
0,2017,3,8601
0,2018,3,8602
0,2019,3,8603
0,2020,3,8604
0,2021,3,8605
0,2022,3,8606
0,2023,3,8607
0,2024,3,8608
0,2025,3,8609
0,2026,3,8610
0,175,6,8611
0,395,6,8612
0,2027,3,8613
0,2028,3,8614
0,2029,3,8615
0,2030,3,8616
0,2031,3,8617
0,2032,3,8618
0,2033,3,8619
0,2034,3,8620
0,2035,3,8621
1,16,6,8622
2,16,6,8623
3,16,6,8624
4,16,6,8625
5,16,6,8626
6,16,6,8627
7,16,6,8628
8,16,6,8629
9,16,6,8630
10,16,6,8631
11,16,6,8632
12,16,6,8633
13,16,6,8634
14,16,6,8635
15,16,6,8636
16,16,6,8637
17,16,6,8638
18,16,6,8639
19,16,6,8640
20,16,6,8641
21,16,6,8642
22,16,6,8643
23,16,6,8644
24,16,6,8645
25,16,6,8646
26,16,6,8647
27,16,6,8648
28,16,6,8649
29,16,6,8650
30,16,6,8651
31,16,6,8652
32,16,6,8653
33,16,6,8654
1,52,6,8655
2,52,6,8656
3,52,6,8657
4,52,6,8658
5,52,6,8659
6,52,6,8660
7,52,6,8661
8,52,6,8662
9,52,6,8663
10,52,6,8664
11,52,6,8665
12,52,6,8666
13,52,6,8667
14,52,6,8668
15,52,6,8669
16,52,6,8670
17,52,6,8671
18,52,6,8672
19,52,6,8673
20,52,6,8674
21,52,6,8675
22,52,6,8676
23,52,6,8677
1,53,6,8678
2,53,6,8679
3,53,6,8680
4,53,6,8681
5,53,6,8682
6,53,6,8683
7,53,6,8684
8,53,6,8685
9,53,6,8686
10,53,6,8687
11,53,6,8688
12,53,6,8689
13,53,6,8690
14,53,6,8691
15,53,6,8692
16,53,6,8693
17,53,6,8694
18,53,6,8695
19,53,6,8696
20,53,6,8697
21,53,6,8698
22,53,6,8699
23,53,6,8700
0,2038,3,8701
0,2039,3,8702
0,2040,3,8703
0,2041,3,8704
0,2042,3,8705
0,2043,3,8706
0,2044,3,8707
0,2045,3,8708
0,2036,3,8709
0,2037,3,8710
0,351,5,8711
24,52,6,8712
24,53,6,8713
34,16,6,8714
41,156,6,8715
0,1369,3,8716
2,175,6,8717
25,52,6,8718
25,53,6,8719
26,52,6,8720
26,53,6,8721
35,16,6,8722
36,16,6,8723
1,175,6,8724
13,300,6,8725
14,300,6,8726
17,365,6,8727
18,365,6,8728
0,347,5,8729
0,348,5,8730
0,349,5,8731
0,350,5,8732
0,355,5,8733
0,302,4,8734
0,1367,3,8735
0,358,5,8736
0,359,5,8737
37,16,6,8738
38,16,6,8739
2,164,6,8740
3,164,6,8741
3,165,6,8742
12,360,6,8743
16,365,6,8744
42,156,6,8745
5,325,6,8746
13,170,6,8747
0,405,6,8748
27,52,6,8749
28,52,6,8750
39,16,6,8751
40,16,6,8752
43,156,6,8753
44,156,6,8754
7,165,6,8755
6,165,6,8756
1,405,6,8757
2,405,6,8758
0,352,5,8759
0,353,5,8760
0,354,5,8761
0,356,5,8762
0,357,5,8763
0,303,4,8764
0,304,4,8765
0,1368,3,8766
41,16,6,8767
42,16,6,8768
4,165,6,8769
5,165,6,8770
0,360,5,8771
0,361,5,8772
27,53,6,8773
28,53,6,8774
0,1374,3,8775
0,1373,3,8776
0,1371,3,8777
0,1372,3,8778
0,1370,3,8779
3,12983,13,8780
0,454,2,8781
0,455,2,8782
0,456,2,8783
0,457,2,8784
0,458,2,8785
